Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,-0.5303766406838785,1,0,-0.5024451714361923,0,1,0,0,1
1,1,0.571830994003175,1,0,0.7868452935884461,1,0,1,0,0
1,3,-0.25482473201211503,0,0,-0.4888542575852486,1,0,0,0,1
1,1,0.36516706249935255,1,0,0.4207302360686478,1,0,0,0,1
0,3,0.36516706249935255,0,0,-0.4863374216869257,0,1,0,0,1
0,3,,0,0,-0.47811642890864375,0,1,0,1,0
0,1,1.6740386286902287,0,0,0.395813560675251,0,1,0,0,1
0,3,-1.9081361840426954,3,1,-0.22408312108167944,0,1,0,0,1
1,3,-0.1859367548441742,0,2,-0.4242561406845337,1,0,0,0,1
1,2,-1.0814804580274051,1,0,-0.04295550208861426,1,0,1,0,0
1,3,-1.7703602297068137,1,1,-0.312172377522981,1,0,0,0,1
1,1,1.949590537361992,0,0,-0.11384570873513637,1,0,0,0,1
0,3,-0.6681525950197601,0,0,-0.4863374216869257,0,1,0,0,1
0,3,0.6407189711711159,1,5,-0.01870931177853076,0,1,0,0,1
0,3,-1.0814804580274051,0,0,-0.4902797934380587,1,0,0,0,1
1,2,1.7429266058581694,0,0,-0.3262666585535892,1,0,0,0,1
0,3,-1.9081361840426954,4,1,-0.06199888922968463,0,1,0,1,0
1,2,,0,0,-0.3866707201133388,0,1,0,0,1
0,3,0.08961515382758917,1,0,-0.2859972841804228,1,0,0,0,1
1,3,,0,0,-0.5029485386158568,1,0,1,0,0
0,2,0.36516706249935255,0,0,-0.12491978668775715,0,1,0,0,1
1,2,0.2962790853314117,0,0,-0.3866707201133388,0,1,0,0,1
1,3,-1.0125924808594644,0,0,-0.4867562231804066,1,0,0,1,0
1,1,-0.11704877767623337,0,0,0.06635974158478332,0,1,0,0,1
0,3,-1.4948083210350502,3,1,-0.22408312108167944,1,0,0,0,1
1,3,0.571830994003175,1,5,-0.016444159470040135,1,0,0,0,1
0,3,,0,0,-0.5029485386158568,0,1,1,0,0
0,1,-0.7370405721877009,3,2,3.0,0,1,0,0,1
1,3,,0,0,-0.48977642625839407,1,0,0,1,0
0,3,,0,0,-0.4894421904510968,0,1,0,0,1
0,1,0.7096069483390568,0,0,-0.09027201697708476,0,1,1,0,0
1,1,,1,0,2.301728820789,1,0,1,0,0
1,3,,0,0,-0.49237782784290063,1,0,0,1,0
0,2,2.500694354705519,0,0,-0.43700743807979686,0,1,0,0,1
0,1,-0.11704877767623337,1,0,1.0060617003323709,0,1,1,0,0
0,1,0.8473829026749384,1,0,0.39858208016340624,0,1,0,0,1
1,3,,0,0,-0.5028639729296732,0,1,1,0,0
0,3,-0.5992646178518193,0,0,-0.4863374216869257,0,1,0,0,1
0,3,-0.8059285493556418,2,0,-0.2859972841804228,1,0,0,0,1
1,3,-1.0814804580274051,1,0,-0.42207354059350805,1,0,1,0,0
0,3,0.7096069483390568,1,0,-0.4576454924460446,1,0,0,0,1
0,2,-0.1859367548441742,1,0,-0.22559322262067316,1,0,0,0,1
0,3,,0,0,-0.4894421904510968,0,1,1,0,0
1,2,-1.8392482068747544,1,2,0.18876253192945994,1,0,1,0,0
1,3,-0.7370405721877009,0,0,-0.48977642625839407,1,0,0,1,0
0,3,,0,0,-0.4863374216869257,0,1,0,0,1
0,3,,1,0,-0.3363340021468808,0,1,0,1,0
1,3,,0,0,-0.49237782784290063,1,0,0,1,0
0,3,,2,0,-0.21191774308354583,0,1,1,0,0
0,3,-0.8059285493556418,1,0,-0.29002422161773944,1,0,0,0,1
0,3,-1.5636962982029912,4,1,0.1506737441786005,0,1,0,0,1
0,3,-0.5992646178518193,0,0,-0.4913710934835715,0,1,0,0,1
1,1,1.3295987428505243,1,0,0.8964967865378598,1,0,1,0,0
1,2,-0.04816080050829252,1,0,-0.12491978668775715,1,0,0,0,1
0,1,2.431806377537578,0,1,0.5995101505357573,0,1,1,0,0
1,1,,0,0,0.06635974158478332,0,1,0,0,1
1,2,-0.5992646178518193,0,0,-0.43700743807979686,1,0,0,0,1
0,3,-0.08260478909226295,0,0,-0.5028639729296732,0,1,1,0,0
1,2,-1.7014722525388728,1,2,-0.08968408411123653,1,0,0,0,1
0,3,-1.2881443895312277,5,2,0.2958951755118318,0,1,0,0,1
0,3,-0.5303766406838785,0,0,-0.5028639729296732,0,1,1,0,0
1,1,0.571830994003175,0,0,0.962353321387736,1,0,0,0,0
0,1,1.054046834178761,1,0,1.0323213593611125,0,1,0,0,1
0,3,-1.7703602297068137,3,2,-0.08666388103324908,0,1,0,0,1
0,1,,0,0,-0.09027201697708476,0,1,1,0,0
1,3,,1,1,-0.3414522396297103,0,1,1,0,0
1,2,-0.04816080050829252,0,0,-0.43700743807979686,1,0,0,0,1
